Account_Name,Oracle Number,Record_Type,Account EE,Max MAU,12 Month Revenue,Account Segment,Customer Category,InsiderStatus,DIVISION,DnB_Market,DnB_Industry,First_Account_Contract,Account_Number
SECURE Waste Infrastructure Corp,6178795,US/Canada,"3,800","1,810","$383,536",Enterprise,Existing,Yes  Active,MFG,ELEC-GAS-SANI,Hazardous waste collection and disposal,05/06/14,AC-05751288
SHAMROCK FOODS COMPANY,6114768,US/Canada,"6,138","10,898","$2,285,469",Enterprise,Existing,Yes  Active,TRANS-DIST,WHLSALE-NONDUR,"Groceries and related products, nec",01/03/20,AC-00362617
"SHAPE TECHNOLOGIES GROUP, INC.",6184863,US/Canada,"1,500",909,"$434,784",Enterprise,Existing,,S&D,BUSINESS SVCS,Computer related consulting services,10/20/10,AC-05686365
SIENNA SENIOR LIVING INC,6195680,US/Canada,"13,423","12,171","$982,176",Enterprise,Existing,,HEALTHCARE,SOCIAL SERVICES,Aged home,03/05/15,AC-05729691
SMS EQUIPMENT INC,6196352,US/Canada,"2,830","2,244","$504,952",Enterprise,Existing,No,TRANS-DIST,WHLSALE-DURABLE,"Mining machinery and equipment, except petroleum",02/07/13,AC-00456883
Sony Music Entertainment,6197836,US/Canada,"2,336","1,778","$825,564",Upper Enterprise,Existing,,MFG,ELECTRONIC EQPT,Prerecorded records and tapes,10/10/07,AC-00527324
SONY PICTURES ENTERTAINMENT  INC.,6152204,US/Canada,"13,200","3,755","$1,992,871",Upper Enterprise,Existing,No,HOSPITALITY,MOTION PICTURES,Motion picture production and distribution,04/10/17,AC-00527323
SORENSON COMMUNICATIONS LLC,6187944,US/Canada,"10,000","5,516","$1,394,989",Enterprise,Existing,,S&D,COMMUNICATION,Data communication services,01/02/20,AC-00455045
"Sound Inpatient Physicians, Inc.",6165631,US/Canada,"4,239","4,204","$1,798,543",Enterprise,Existing,,HEALTHCARE,HEALTH SERVICES,"General and family practice, physician/surgeon",06/10/16,AC-00917108
SOUTHCENTRAL FOUNDATION,6006930,US/Canada,"3,100","3,164","$1,531,829",Enterprise,Existing,No,HEALTHCARE,SPECIALTY,Substance abuse clinics (outpatient),08/06/02,AC-00600349
SOUTHERN MINNESOTA BEET SUGAR COOPERATIVE,6144070,US/Canada,776,"1,091","$386,133",Mid-market,Existing,No,MFG,FOOD-KINDRED,"Granulated sugar, from sugar beets",12/18/17,AC-00538495
SPORTSMAN'S WAREHOUSE  INC.,6173324,US/Canada,"5,328","3,429","$696,172",Enterprise,Existing,,RETAIL,OTHER SPECIALTY,Hunting equipment,01/03/17,AC-00421010
