Product,Flag Key,Created Date,Archived,Enabled In Prod,ukg-expiry-date,Rules Details,Fallthrough Variation,Variations,Default On Variation,Default Off Variation,jira issues,Description
UTM,enable-utm-pro-ignite-lite,2/23/26 20:03,FALSE,TRUE,12/31/27,,TRUE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,PS-732981,Controls whether to display ignite lite style in UTM pages in Ukg Pro Core.
UTM,enable-utm-pro-mx-rebrand,2/26/26 8:32,FALSE,TRUE,12/31/27,,TRUE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,PS-547907,Controls whether to send MX and Rebrand values from UKG Pro Core to UTM
UTM,fix-mobile-app-utm-time-clock-stale-data,4/1/26 15:10,FALSE,TRUE,1/13/27,,Enabled (true),"name=Enabled, value=true, description=When the user navigates to the UTM Time Clock page from another webview in the app, the user will be presented with a refreshed list of punches; name=Disabled, value=false, description=When the user navigates to the UTM Time Clock page from another webview in the app, the list of punches will not be refreshed",Enabled (true),Disabled (false),PS-633687,"The UTM Time Clock page doesn't refresh the data when the user navigates to the page from another webview in the app. When the flag is enabled, the customer will be presented with a refreshed list of punches"
UTM,fix-mobile-app-utm-utc-date-display,4/28/26 19:54,FALSE,TRUE,9/17/26,"Affected Customers: activation-code.key in [cibtholdings, avidityscience, ez3castl3] -> var: true (Enabled)",Enabled (true),"name=Enabled, value=true, description=When the user navigates to UTM timesheet pay period view, the timesheet day view or team time off page, the dates should not be converted to UTC timezone; name=Disabled, value=false, description=When the user navigates to UTM timesheet pay period view, the timesheet day view or team time off page, the dates should be displayed in UTC timezone",Enabled (true),Disabled (false),PS-860168,"Controls whether the dates being displayed on UTM timesheet pay period view, the timesheet day view and team time off pages should be displayed in UTC"
UTM,fix-utm-attestation-email-supervisor-name,5/26/26 13:24,FALSE,FALSE,4/24/27,,Enabled (true),"name=Enabled, value=true, description=The fix that displays the supervisor's full name instead of their username in the attestation submission email sent to employees is applied.; name=Disabled, value=false, description=The fix that displays the supervisor's full name instead of their username in the attestation submission email sent to employees is not applied.",Enabled (true),Disabled (false),PS-894450,Controls whether the fix that displays the supervisor's full name instead of their username in the attestation submission email sent to employees is applied. UtmSettings: FixUtmAttestationEmailSupervisorName
UTM,fix-utm-ics-outlook-support,4/7/26 23:39,FALSE,FALSE,1/13/27,,Enabled (true),"name=Enabled, value=true, description=Enables new compatible .ics file formatting for canceled time off requests, ensuring successful event removal and error-free calendar updates in the new Outlook app for Windows.; name=Disabled, value=false, description=Retains legacy .ics file generation behavior. Canceled time off requests and partial-day events may not display or import correctly in the new Windows Outlook App.",Enabled (true),Disabled (false),PS-709594,"Controls whether to apply fixes to ICS file generation for time off requests, improving compatibility with the Windows Outlook App. Enabling this flag updates how cancellation and partial day requests are handled so that .ics files import correctly in the new Windows Outlook App, and single partial-day requests display accurate times. UtmSettings: FixUtmIcsOutlookSupport"
UTM,fix-utm-news-mobile-punch-lockout,4/3/26 17:23,FALSE,TRUE,12/31/27,tenant.id in [b49e6883-b861-4b66-b39d-67538eb02b56] -> var: true (Enabled),Disabled (false),"name=Enabled, value=true, description=Enable employee punch lockout fix; name=Disabled, value=false, description=Disable employee punch lockout fix",Enabled (true),Disabled (false),PS-807125,Enables fix for day index offset issue when checking employee lockout settings in EmployeePunch endpoint in MobileServices. UtmSettings: FixNewsMobilePunchLockout
UTM,fix-utm-post-pay-code-fox-pro-errors,4/8/26 15:26,FALSE,FALSE,1/13/27,,Enabled (true),"name=Enabled, value=true, description=The fix for FoxPro errors in post pay code processing is applied.; name=Disabled, value=false, description=The fix for FoxPro errors in post pay code processing is not applied.",Enabled (true),Disabled (false),PS-736427,Controls whether the fix for FoxPro errors in post pay code processing is applied. UtmSettings: FixUtmPostPayCodeFoxProErrors
UTM,fix-utm-post-pay-code-fox-pro-nest,4/8/26 15:09,FALSE,FALSE,1/13/27,,Enabled (true),"name=Enabled, value=true, description=The fix for FoxPro nested call errors in post pay code processing is applied.; name=Disabled, value=false, description=The fix for FoxPro nested call errors in post pay code processing is not applied.",Enabled (true),Disabled (false),PS-736427,Controls whether the fix for FoxPro nested call errors in post pay code processing is applied. UtmSettings: FixUtmPostPayCodeFoxProNest
UTM,fix-utm-pro-sync-service-race-condition,4/17/26 16:21,FALSE,TRUE,2/1/27,,TRUE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,PS-852015,Controls whether the UTM Sync Service should send authentication requests from multiple servers simultaneously for the same client
UTM,fix-utm-silent-finally-abort,5/27/26 12:49,FALSE,FALSE,12/24/26,,Enabled (true),"name=Enabled, value=true, description=COM object release calls inside Finally blocks are wrapped in a Try/Catch, ensuring ExecuteMutex is always released, LogProcessComplete always closes the PROCESSLOCK row, and GC_DLL always cleans up the COM reference.; name=Disabled, value=false, description=COM object release calls inside Finally blocks are not wrapped in a Try/Catch — an exception from releaseall() silently aborts the Finally, leaving ExecuteMutex abandoned, PROCESSLOCK rows unclosed, and COM references leaked.",Enabled (true),Disabled (false),PS-858240,"Controls whether COM object release calls inside Finally blocks are wrapped in a Try/Catch to prevent silent abort — avoiding abandoned mutexes, orphaned PROCESSLOCK rows, and COM reference leaks. UtmSettings: FixUtmSilentFinallyAbort"
UTM,utm-allow-aws-direct-login,3/10/26 14:30,FALSE,TRUE,12/31/99,Disable by Client.Id: client.id in [ALMAC] -> var: false (Disallowed),Allowed (true),"name=Allowed, value=true, description=AWS Direct Login is allowed; name=Disallowed, value=false, description=AWS Direct Login is disallowed",Disallowed (false),Allowed (true),PS-772687,Controls whether AWS direct login is allowed. UtmSettings: AllowAWSDirectLogin.
